url,status,type,title,title_length,description,description_length,h1,canonical,robots,body_bytes,word_count,main_word_count,depth
https://deep20bench.com/,200,editorial,Deep20Bench: A Twenty Questions LLM Benchmark,45,"Compare 17 AI models in a public Twenty Questions LLM benchmark measuring question strategy, multi-turn reasoning, state tracking, reliability, cost, and runtime.",162,How well can AI models play Twenty Questions?,https://deep20bench.com/,,122242,2153,2046,0
https://deep20bench.com/results/,200,editorial,LLM Benchmark Results and Leaderboard | Deep20Bench,51,"Compare official Twenty Questions LLM benchmark scores, outcomes, costs, runtime, and repeated-trial stability.",111,Results,https://deep20bench.com/results/,,110686,1669,1562,1
https://deep20bench.com/results/reliability/,200,editorial,LLM Benchmark Stability and Reliability | Deep20Bench,53,"Compare repeated-trial stability, confidence-interval width, and output-contract compliance across tested LLMs.",111,Stability,https://deep20bench.com/results/reliability/,,95306,1531,1424,2
https://deep20bench.com/results/cost/,200,editorial,LLM Benchmark Cost Comparison | Deep20Bench,43,"Compare recorded LLM benchmark costs by tested model, support component, run, and episode.",90,Cost,https://deep20bench.com/results/cost/,,219336,1794,1687,2
https://deep20bench.com/results/time/,200,editorial,LLM Benchmark Runtime and Response Time | Deep20Bench,53,"Compare tested-model response time, latency per call, and end-to-end LLM benchmark runtime.",91,Time,https://deep20bench.com/results/time/,,204830,1782,1675,2
https://deep20bench.com/results/efficiency/,200,editorial,LLM Benchmark Cost Efficiency | Deep20Bench,43,Compare question score and recorded tested-model cost across official Twenty Questions LLM benchmark runs.,106,Efficiency,https://deep20bench.com/results/efficiency/,,103527,1884,1777,2
https://deep20bench.com/methodology/,200,editorial,Twenty Questions LLM Benchmark Method | Deep20Bench,51,"Follow the Deep20Bench LLM benchmark method through answer checks, repeated Twenty Questions trials, scoring, and publication.",126,From one round to a comparable score.,https://deep20bench.com/methodology/,,39050,1726,1619,1
https://deep20bench.com/about/,200,editorial,Deep20Bench Origin and Related LLM Research,43,"Read how the Deep20Bench LLM benchmark began, see project news, and review related Twenty Questions research.",109,"A shared idea, built into a benchmark.",https://deep20bench.com/about/,,24988,499,392,1
https://deep20bench.com/data/,200,editorial,"Deep20Bench Dataset, Results and Transcripts",44,"Download the public Deep20Bench dataset, leaderboard results, trial transcripts, schema, and citation details.",110,Download the public benchmark record.,https://deep20bench.com/data/,,23628,461,354,1
https://deep20bench.com/runs/BX-20260904-official-M0021-001/,200,run,Gemini 3.8 Flash (high) Benchmark Results | Deep20Bench,55,"Official Twenty Questions LLM benchmark results for Gemini 3.8 Flash (high): rank 5, 13.14 question score across 35 episodes with 100% success.",143,Gemini 3.8 FlashHigh,https://deep20bench.com/runs/BX-20260904-official-M0021-001/,,77145,675,636,1
https://deep20bench.com/runs/BX-20260902-official-M0020-001/,200,run,Claude Fable 5.1 (high) Benchmark Results | Deep20Bench,55,"Official Twenty Questions LLM benchmark results for Claude Fable 5.1 (high): rank 2, 12.11 question score across 35 episodes with 97.1% success.",144,Claude Fable 5.1High,https://deep20bench.com/runs/BX-20260902-official-M0020-001/,,77159,673,634,1
