rank,model_id,model_name,status,execution_id,b20_score,penalized_score,success_rate,contract_status,contract_compliance_rate,contract_violations,contract_affected_trials,contract_counted_penalties,successful,terminal_trials,total_cost_usd
1,M-0006,Claude Opus 5 (high),evaluated,BX-20260728-official-M0006-010,24.94009216589861751152073733,12.34285714285714285714285714,1,breached,0.9935760171306209850107066381,3,2,3,35,35,5.4675744
2,M-0007,Kimi K3 (high),evaluated,BX-20260728-official-M0007-010,24.6820276497695852534562212,12.74285714285714285714285714,0.9429,breached,0.9770354906054279749478079332,11,10,11,33,35,10.08658847
3,M-0002,gpt-oss-120B (high),evaluated,BX-20260728-official-M0002-011,24.11059907834101382488479263,13.62857142857142857142857143,0.9429,breached,0.9061224489795918367346938776,46,7,46,33,35,4.6420839
4,M-0010,GPT-5.6 Sol (high),evaluated,BX-20260728-official-M0010-010,23.61290322580645161290322581,14.4,1,clean,1,0,0,0,35,35,9.97267112
5,M-0005,Claude Sonnet 5 (high),evaluated,BX-20260728-official-M0005-012,23.39170506912442396313364055,14.74285714285714285714285714,1,breached,0.9709618874773139745916515426,16,12,16,35,35,5.00817975
6,M-0008,Grok 4.5 (high),evaluated,BX-20260728-official-M0008-010,23.11520737327188940092165899,15.17142857142857142857142857,0.9429,breached,0.9822695035460992907801418440,10,9,10,33,35,4.99134587
7,M-0003,GPT-5 Nano (medium),evaluated,BX-20260728-official-M0003-010,22.91244239631336405529953917,15.48571428571428571428571429,0.9429,clean,1,0,0,0,33,35,4.5882192
8,M-0004,Gemini 3.6 Flash (high),evaluated,BX-20260728-official-M0004-010,22.00921658986175115207373272,16.88571428571428571428571429,0.9714,breached,0.9984,1,1,1,34,35,9.85554295
9,M-0001,GPT-5.6 Luna (high),evaluated,BX-20260728-official-M0001-010,21.45622119815668202764976959,17.74285714285714285714285714,0.9143,breached,0.9984686064318529862174578867,1,1,1,32,35,5.88215295
10,M-0009,Llama 4 Maverick (non-thinking),evaluated,BX-20260728-official-M0009-010,12.11059907834101382488479263,32.22857142857142857142857143,0.4857,clean,1,0,0,0,17,35,3.72512258
