rank,efficiency_rank,ideal_distance_rank,product_efficiency_rank,pareto_efficient,model_id,model_name,status,execution_id,question_score,question_score_ci_lower,question_score_ci_upper,question_score_ci_method,success_rate,contract_status,contract_compliance_rate,contract_violations,contract_affected_trials,contract_counted_penalties,successful,terminal_trials,total_cost_usd,guesser_cost_per_episode_usd,full_cost_per_episode_usd,runtime_per_episode_ms,guesser_think_time_per_episode_ms,guesser_latency_per_call_ms,ideal_distance_score,normalized_question_score,normalized_guesser_cost,cost_adjusted_question_score,efficiency_status
1,10,9,10,True,M-0022,GPT-6 Astra (high),evaluated,BX-20260909-B-0003-experimental-M0022-002,13.66666666666666666666666667,12.48552340249171736307766118703559636291,14.84780993084161597025567215296440363709,stratified-welch-t-v1,1,clean,1,0,0,0,30,30,6.68396400,0.1755735,0.22279880,236381.4333333333333333333333,81439.46666666666666666666667,5552.690909090909090909090909,0.63138699351735336630609632121458004910179990916793,0,0.63138699351735336630609632121458004910179990916793,2.399504500000000000000000001,ranked
2,6,2,6,True,M-0021,Gemini 3.8 Flash (high),evaluated,BX-20260908-B-0003-experimental-M0021-001,14.86666666666666666666666667,13.19113292680335463440062397712959276636,16.54220040652997869893270936287040723364,stratified-welch-t-v1,1,clean,1,0,0,0,30,30,4.5150947300000000004,0.087467975,0.15050315766666666668,356249.3,102403.3,6453.989495798319327731092437,0.32115801177804901139563355892510520864476704251132,0.077419354838709677419354838709677419354838709677419,0.31168688138192057694919368832652412051754332157291,1.300357228333333333333333334,ranked
3,11,11,11,False,M-0020,Claude Fable 5.1 (high),evaluated,BX-20260908-B-0003-experimental-M0020-001,15.1000000000000000000000000,13.75637720715423776481386609357577162186,16.44362279284576223518613390642422837814,stratified-welch-t-v1,0.9333,breached,0.9937629937629937629937629938,3,3,3,28,30,10.2247755299999999999,0.2771588333333333333333333333,0.3408258509999999999966666667,376958.6,158897.6666666666666666666667,9910.457380457380457380457380,1.0042665371326216420434203822269803039919410093755,0.092473118279569892473118279354838709677419354838710,1,4.185098383333333333333333333,ranked
4,4,1,4,True,M-0016,Gemini 3.7 Flash (high),evaluated,BX-20260908-B-0003-experimental-M0016-001,16.56666666666666666666666666,14.34671862165826026096998416863830176166,18.78661471167507307236334915136169823834,stratified-welch-t-v1,0.9333,clean,1,0,0,0,28,30,3.80066037,0.052534325,0.126688679,226628.8,51527.46666666666666666666667,2944.426666666666666666666667,0.26306464121932198851708773957091418779757221907052,0.18709677419354838709677419290322580645161290322581,0.18492647875904350241933007691974985761419628242594,0.8703186508333333333333333330,ranked
5,9,6,9,False,M-0015,Grok 4.6 (high),evaluated,BX-20260908-B-0003-experimental-M0015-001,17.13333333333333333333333333,15.53727382002485084027327490595916039782,18.72939284664181582639339175404083960218,stratified-welch-t-v1,1,clean,1,0,0,0,30,30,6.5623291399999999994,0.1366834666666666666666666667,0.2187443046666666666466666667,843361.8,410866.3666666666666666666667,22658.07169117647058823529412,0.53887574855049870647635434646509354648519542047007,0.22365591397849462365591397806451612903225806451613,0.49027044018409321386371254018479497875585283579700,2.341843395555555555555555556,ranked
6,8,4,8,False,M-0006,Claude Opus 5 (high),evaluated,BX-20260907-B-0003-experimental-M0006-002,18.06666666666666666666666667,16.50100429435178863510601270737796051389,19.63232903898154469822732063262203948611,stratified-welch-t-v1,0.9333,breached,0.9964912280701754385964912281,2,1,2,28,30,5.5548955300000000007,0.09341535,0.1851631843333333333566666667,2418202.966666666666666666667,82066.1,4319.268421052631578947368421,0.43777846977675549796366121561188818459983987836864,0.28387096774193548387096774193548387096774193548387,0.33326755358620594481461993482210543199901730430722,1.687703990000000000000000000,ranked
6,5,3,5,False,M-0010,GPT-5.6 Sol (high),evaluated,BX-20260908-B-0003-experimental-M0010-001,18.06666666666666666666666667,14.38311279010587355794057723335503431865,21.75022054322745977539275610664496568135,stratified-welch-t-v1,0.9667,clean,1,0,0,0,29,30,4.2677219000000000009,0.05572821,0.1422573966666666666966666667,1083768.9,114834.9,6033.357267950963222416812609,0.34525526152890684161572914965407801702185091482673,0.28387096774193548387096774193548387096774193548387,0.19651582451968310764766474680159516197469272520034,1.006822994000000000000000000,ranked
8,2,5,2,True,M-0001,GPT-5.6 Luna (high),evaluated,BX-20260908-B-0003-experimental-M0001-001,21.03333333333333333333333333,18.51042720275049636388791391892114245253,23.55623946391617030277875274107885754747,stratified-welch-t-v1,0.9,clean,1,0,0,0,27,30,3.3849965400000000005,0.006286398,0.1128332180000000000166666667,1156698.8,82781.76666666666666666666667,3774.244680851063829787234043,0.47557674065578595179250550243486925832974339896086,0.47526881720430107526881720387096774193548387096774,0.017111038717896142414558413486445195312009081199183,0.1322239046000000000000000000,ranked
9,7,7,7,False,M-0002,gpt-oss-120B (high),evaluated,BX-20260908-B-0003-experimental-M0002-001,22.23333333333333333333333333,19.57758548437866557924467768595931413822,24.88908118228800108742198897404068586178,stratified-welch-t-v1,0.6667,breached,0.8927492447129909365558912387,71,13,67,20,30,4.5693358200000000004,0.06815057833333333333333333333,0.1523111940000000000133333333,345945.9666666666666666666667,64999.86666666666666666666667,2945.613293051359516616314199,0.60318385162085172199973384156638494638997722410781,0.55268817204301075268817204258064516129032258064516,0.24159168723265503527424878865148154316386961924596,1.515214524944444444444444444,ranked
10,1,8,1,True,M-0023,GLM-5.3-Flash (high),evaluated,BX-20260908-B-0003-experimental-M0023-001,23.26666666666666666666666667,19.57823970187009281234007985412774112250,26.95509363146324052099325348587225887750,stratified-welch-t-v1,0.7333,breached,0.9319444444444444444444444444,49,30,49,22,30,2.878130790,0.0015708005,0.095937693,355600.5666666666666666666667,103026.5,4292.770833333333333333333333,0.61935483870967741935483870967741935483870967741935,0.61935483870967741935483870967741935483870967741935,0,0.03654729163333333333333333334,ranked
11,3,10,3,False,M-0024,MiniMax M3 (high),evaluated,BX-20260908-B-0003-experimental-M0024-001,29.16666666666666666666666667,24.71429238989232631743490637182291067712,33.61904094344100701589842696817708932288,stratified-welch-t-v1,0.5,breached,0.9910112359550561797752808989,8,8,7,15,30,4.3491982799999999989,0.01000604166666666666666666667,0.1449732759999999999633333333,1068287.633333333333333333333,71536.86666666666666666666667,2411.355056179775280898876404,1.0004683199079931479324230821054614882764022867024,1,0.030608154787940395793565049212234045112922909024159,0.2918428819444444444444444446,ranked
